,child_friendly,continent,country,max_altitude,min_altitude,resort_name,season,ski_pass_price,url,beginner_slopes,intermediate_slopes,difficult_slopes,t-bar_lifts,chairlifts,gondolas,snowpark,night_skiing,snow_cannons,country_iso,altitude_diff,total_slopes,season_start,season_end
62,True,Europe,France,2466.0,1000.0,Avoriaz (Les Portes du Soleil),December - April,51,https://ski-resort-stats.com/avoriaz-les-gets%E2%80%8Bcha%CC%82tel%E2%80%8Bmorgins%E2%80%8Bchamperymorzine-les-portes-du-soleil,310.0,210.0,60.0,89,74.0,11.0,True,True,1074.0,FRA,1466.0,580.0,December,April
63,True,Europe,France,2466.0,1000.0,Châtel (Les Portes du Soleil),December - April,51,https://ski-resort-stats.com/cha%CC%82tel-avoriaz%E2%80%8Bles-gets%E2%80%8Bmorgins%E2%80%8Bchamperymorzine-les-portes-du-soleil,310.0,210.0,60.0,89,74.0,11.0,True,True,1074.0,FRA,1466.0,580.0,December,April
64,True,Europe,France,1360.0,932.0,Le Lys - Cauterets,November - April,37,https://ski-resort-stats.com/le-lys-cauterets,21.0,12.0,3.0,6,4.0,1.0,True,False,,FRA,428.0,36.0,November,April
65,True,Europe,France,1756.0,1516.0,Pont d'Espagne - Cauterets,November - April,35,https://ski-resort-stats.com/pont-despagne-cauterets,3.0,1.0,0.0,2,1.0,1.0,False,False,,FRA,240.0,4.0,November,April
66,True,Europe,France,3534.0,1470.0,La Grave - La Meije,December - April,49,https://ski-resort-stats.com/la-grave-la-meije,3.0,0.0,0.0,1,0.0,2.0,False,False,,FRA,2064.0,3.0,December,April
67,True,Europe,France,3230.0,1110.0,Courchevel (Les 3 Vallées),November - May,61,https://ski-resort-stats.com/courchevel-val-thorens-%E2%80%8Bles-menuires-%E2%80%8Bmeribel-les-3-vallees,,,,,,,,,,FRA,2120.0,0.0,November,May
68,True,Europe,France,3230.0,1110.0,Saint Martin de Belleville (Les 3 Vallées),November - May,61,https://ski-resort-stats.com/saint-martin-de-belleville-val-thorens-%E2%80%8Bles-menuires-%E2%80%8Bmeribel-les-3-vallees,312.0,216.0,72.0,62,63.0,40.0,True,True,2383.0,FRA,2120.0,600.0,November,May
69,True,Europe,France,3330.0,1125.0,Alpe d'Huez,December - April,51,https://ski-resort-stats.com/alpe-dhuez,70.0,130.0,50.0,27,21.0,20.0,True,True,963.0,FRA,2205.0,250.0,December,April
70,True,Europe,France,3230.0,1110.0,La Tania-Val Thorens/Les Menuires/Méribel (Les 3 Vallées),November - May,61,https://ski-resort-stats.com/la-tania-val-thorens%E2%80%8Bles-menuires%E2%80%8Bmeribel-les-3-vallees,312.0,216.0,72.0,62,63.0,40.0,True,True,2383.0,FRA,2120.0,600.0,November,May
71,True,Europe,France,2620.0,1550.0,Sainte-Foy-Tarentaise,December - April,31,https://ski-resort-stats.com/sainte-foy-tarentaise,10.0,25.0,6.0,2,4.0,0.0,False,False,10.0,FRA,1070.0,41.0,December,April
72,True,Europe,France,3226.0,1200.0,Les Arcs / Peisey-Vallandry (Paradiski),December - April,50,https://ski-resort-stats.com/les-arcs-%E2%80%8B-peisey-vallandry-paradiski,104.0,70.0,26.0,17,27.0,8.0,True,True,793.0,FRA,2026.0,200.0,December,April
73,True,Europe,France,2749.0,1372.0,Montgenèvre (Via Lattea),November - April,48,https://ski-resort-stats.com/montgenevre-sauze-doulx%E2%80%8Bsan-sicario%E2%80%8Bclaviere%E2%80%8Bsestriere-via-lattea,,,,,,,False,False,,FRA,1377.0,0.0,November,April
74,True,Europe,France,3000.0,1850.0,Bonneval sur Arc,December - April,28,https://ski-resort-stats.com/bonneval-sur-arc,13.0,11.0,1.0,8,3.0,0.0,False,False,,FRA,1150.0,25.0,December,April
75,True,Europe,France,3230.0,1110.0,Val Thorens (Les 3 Vallées),November - May,61,https://ski-resort-stats.com/val-thorens,312.0,216.0,72.0,62,63.0,40.0,True,True,2383.0,FRA,2120.0,600.0,November,May
76,True,Europe,France,2800.0,1200.0,Serre Chevalier-Briançon/Chantemerle/Villeneuve-la-Salle/Le Monêtier-les-Bains,December - April,49,https://ski-resort-stats.com/serre-chevalier-brianc%CC%A7on%E2%80%8Bchantemerle%E2%80%8Bvilleneuve-la-salle%E2%80%8Ble-mone%CC%82tier-les-bains,138.0,80.0,32.5,33,21.0,7.0,True,True,575.0,FRA,1600.0,250.5,December,April
77,True,Europe,Switzerland,2320.0,944.0,Kleine Scheidegg / Männlichen-Grindelwald / Wengen,November - April,55,https://ski-resort-stats.com/kleine-scheidegg-%E2%80%8Bma%CC%88nnlichen-grindelwald-%E2%80%8Bwengen,,,,,,,,,,CHE,1376.0,0.0,November,April
78,True,Europe,France,2270.0,1453.0,Balme-Les Autannes-Vallorcine-Le Tour,December - April,51,https://ski-resort-stats.com/Balme/%E2%80%8BLes%20Autannes-Vallorcine/%E2%80%8BLe%20Tour,,,,,,,,,,FRA,817.0,0.0,December,April
79,True,Europe,France,3275.0,1252.0,Grands Montets-Argentière (Chamonix),December - May,62,https://ski-resort-stats.com/grands-montets-argentiere-chamonix,6.0,9.0,14.0,1,4.0,4.0,True,False,,FRA,2023.0,29.0,December,May
80,True,America,USA,3676.0,2743.0,Winter Park Resort,November - April,119,https://ski-resort-stats.com/winter-park-resort,11.0,53.0,79.0,5,19.0,1.0,True,False,36.0,USA,933.0,143.0,November,April
81,True,Europe,Andorra,2625.0,1940.0,Arcalís-Ordino (Vallnord),November - April,37,https://ski-resort-stats.com/arcalis-ordino-vallnord,13.0,14.0,3.0,10,4.0,1.0,True,False,106.0,AND,685.0,30.0,November,April
82,True,Europe,Finland,492.0,291.0,Ruka,October - June,43,https://ski-resort-stats.com/Ruka,9.1,7.0,2.8,17,5.0,0.0,True,True,70.0,FIN,201.0,18.900000000000002,October,June
83,True,Europe,Finland,531.0,206.0,Levi,November - May,43,https://ski-resort-stats.com/Levi,15.7,19.4,,25,2.0,,True,True,,FIN,325.0,35.099999999999994,November,May
84,True,Rest of the world,Japan,1200.0,300.0,Niseko,November - May,57,https://ski-resort-stats.com/Niseko,20.3,16.1,8.0,1,26.0,5.0,True,True,,JPN,900.0,44.400000000000006,November,May
85,True,Europe,Slovenia,1215.0,800.0,Kranjska Gora,December - April,33,https://ski-resort-stats.com/kranjska-gora,10.0,8.0,2.0,15,5.0,0.0,True,True,,SVN,415.0,20.0,December,April
